survey,CFA3K-B,CFA3K-V,CFA3K-r,CFA3K-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3K-B_AV,CFA3K-V_AV,CFA3K-r_AV,CFA3K-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3K,16.8166,16.154,15.9253,15.7227,16.4244,15.916,15.7678,15.712,105.476,14.1601,0.28432,0.218465,0.178661,0.129479,0.254105,0.179876,0.13298,0.105022
CFA3K,16.1749,15.6156,15.4492,15.296,15.8308,15.4409,15.311,15.2814,105.466,14.1313,0.285998,0.219754,0.179716,0.130243,0.255604,0.180937,0.133765,0.105641
CFA3K,16.2675,15.8266,15.6875,15.5503,16.0134,15.735,15.5781,15.6243,105.456,14.187,0.274689,0.211064,0.172609,0.125093,0.245497,0.173782,0.128475,0.101464
CFA3K,17.1659,16.6466,16.4665,16.2923,16.8358,16.4435,16.3161,16.2822,105.444,14.2046,0.271114,0.208317,0.170363,0.123465,0.242302,0.171521,0.126803,0.100144
CFA3K,17.1472,16.5883,16.4369,16.275,16.777,16.4049,16.2725,16.2475,105.421,14.0711,0.291592,0.224052,0.183231,0.13279,0.260604,0.184476,0.136381,0.107708
CFA3K,17.0292,16.5283,16.3722,16.237,16.7382,16.3881,16.2714,16.2669,105.403,14.1513,0.270131,0.207562,0.169745,0.123017,0.241424,0.170899,0.126344,0.0997806
CFA3K,16.5322,16.0006,15.8349,15.6933,16.167,15.8031,15.6807,15.659,105.403,14.0435,0.294994,0.226666,0.185369,0.13434,0.263645,0.186629,0.137972,0.108964
CFA3K,16.9689,16.448,16.3283,16.2087,16.6014,16.283,16.1919,16.1852,105.387,14.0468,0.285249,0.219178,0.179245,0.129902,0.254935,0.180463,0.133414,0.105365
CFA3K,16.6375,15.8636,15.5919,15.3343,16.1358,15.5589,15.3196,15.2263,105.381,14.0503,0.281606,0.216379,0.176956,0.128243,0.251679,0.178158,0.13171,0.104019
CFA3K,17.1783,16.585,16.4003,16.2434,16.7995,16.4041,16.2682,16.2424,105.367,14.1822,0.268493,0.206303,0.168716,0.122271,0.239959,0.169862,0.125577,0.0991753
CFA3K,17.5456,17.0493,16.9182,16.7903,17.1933,16.8825,16.7826,16.7789,105.355,14.1522,0.266708,0.204932,0.167594,0.121458,0.238364,0.168733,0.124743,0.0985161
CFA3K,16.9339,16.2863,16.0792,15.9,16.4841,16.0467,15.9021,15.8583,105.35,14.1207,0.263709,0.202627,0.16571,0.120092,0.235684,0.166836,0.12334,0.0974083
CFA3K,16.3536,15.5533,15.2916,15.062,15.8967,15.3088,15.0941,15.019,105.339,14.2102,0.2738,0.210381,0.172051,0.124688,0.244703,0.17322,0.12806,0.101136
CFA3K,16.2225,15.6576,15.4952,15.3623,15.8037,15.4557,15.3509,15.3343,105.325,14.0592,0.267856,0.205814,0.168316,0.121981,0.239391,0.16946,0.12528,0.0989402
CFA3K,16.3305,15.8286,15.7002,15.583,15.9806,15.6785,15.5825,15.5724,105.308,14.1418,0.272486,0.209371,0.171225,0.124089,0.243528,0.172389,0.127445,0.10065
CFA3K,16.0632,15.4663,15.285,15.1235,15.6962,15.2836,15.1403,15.103,350.367,33.4365,0.243592,0.18717,0.153068,0.110931,0.217704,0.154109,0.113931,0.0899774
CFA3K,16.3585,15.5503,15.2565,14.983,15.8998,15.2806,15.0232,14.9192,350.333,33.4853,0.245682,0.188776,0.154382,0.111883,0.219573,0.155431,0.114908,0.0907494
CFA3K,16.486,16.0073,15.8695,15.74,16.1904,15.8775,15.7565,15.7371,350.324,33.4708,0.245588,0.188704,0.154323,0.11184,0.219489,0.155372,0.114865,0.0907149
CFA3K,16.687,16.0778,15.8975,15.7483,16.2758,15.8724,15.7493,15.7092,350.299,33.3915,0.244493,0.187863,0.153635,0.111342,0.21851,0.154679,0.114353,0.0903105
CFA3K,17.032,16.2198,15.9133,15.6775,16.5434,15.9172,15.6837,15.5957,350.276,33.4035,0.244893,0.18817,0.153886,0.111524,0.218867,0.154932,0.114539,0.0904581
CFA3K,17.3212,16.7375,16.56,16.407,16.9146,16.5479,16.4049,16.3668,350.223,33.4022,0.248798,0.191171,0.15634,0.113302,0.222358,0.157403,0.116366,0.0919007
CFA3K,16.309,15.7103,15.529,15.3813,15.8915,15.5049,15.3561,15.3168,350.2,33.3209,0.259155,0.199128,0.162848,0.118019,0.231614,0.163955,0.12121,0.0957262
CFA3K,15.9785,15.2575,15.0064,14.7851,15.5644,15.018,14.8172,14.7493,193.195,-9.84227,0.16103,0.123731,0.101188,0.0733324,0.143916,0.101876,0.0753154,0.0594808
CFA3K,17.039,16.557,16.3889,16.2321,16.7289,16.377,16.2351,16.2138,193.17,-9.81216,0.160048,0.122977,0.100571,0.0728854,0.143039,0.101255,0.0748563,0.0591182
CFA3K,17.0375,16.502,16.3179,16.1366,16.7468,16.335,16.1802,16.1218,193.156,-9.70336,0.156692,0.120398,0.0984622,0.071357,0.14004,0.0991314,0.0732866,0.0578785
CFA3K,16.1205,15.5269,15.3308,15.1675,15.7762,15.3852,15.2127,15.1786,193.149,-9.78159,0.15895,0.122134,0.0998815,0.0723856,0.142058,0.10056,0.074343,0.0587128
CFA3K,16.224,15.383,15.0709,14.7726,15.7148,15.0704,14.785,14.6599,193.129,-9.78145,0.159057,0.122215,0.0999484,0.0724341,0.142153,0.100628,0.0743928,0.0587521
CFA3K,17.406,16.84,16.6739,16.4711,17.04,16.6527,16.4851,16.4339,193.123,-9.83488,0.160651,0.12344,0.10095,0.0731599,0.143578,0.101636,0.0751383,0.0593408
CFA3K,16.0696,15.5355,15.3864,15.2436,15.7102,15.3655,15.2324,15.2139,193.121,-9.86059,0.162037,0.124505,0.101821,0.0737911,0.144817,0.102513,0.0757865,0.0598528
CFA3K,16.0235,15.3644,15.1563,14.968,15.5992,15.1507,14.9719,14.9212,193.104,-9.78973,0.159368,0.122454,0.100144,0.0725757,0.142431,0.100824,0.0745382,0.058867
CFA3K,18.093,17.4954,17.3453,17.1755,17.7499,17.3446,17.1872,17.1533,193.1,-9.77272,0.159383,0.122466,0.100153,0.0725828,0.142445,0.100834,0.0745455,0.0588727
CFA3K,16.8121,16.1285,15.885,15.6495,16.4327,15.8999,15.6868,15.6039,51.5976,40.7701,0.738555,0.567487,0.464094,0.336336,0.660067,0.467248,0.345431,0.272806
CFA3K,16.7708,16.1862,15.9973,15.8085,16.4186,15.9922,15.8169,15.7643,51.5728,40.711,0.72077,0.553822,0.452919,0.328237,0.644172,0.455997,0.337113,0.266237
CFA3K,16.8361,16.2789,16.0957,15.9219,16.4934,16.0671,15.9192,15.8685,51.5617,40.6285,0.706793,0.543082,0.444135,0.321872,0.63168,0.447154,0.330575,0.261074
CFA3K,16.8347,16.0925,15.8393,15.5941,16.3722,15.8311,15.5977,15.5009,51.5587,40.6629,0.711949,0.547044,0.447376,0.32422,0.636289,0.450416,0.332987,0.262978
CFA3K,16.8351,16.1585,15.937,15.7415,16.4055,15.9191,15.7403,15.6792,51.5442,40.6829,0.714664,0.54913,0.449081,0.325456,0.638714,0.452133,0.334257,0.263981
CFA3K,16.7665,15.9139,15.5884,15.3035,16.2295,15.5769,15.3076,15.187,51.5076,40.6861,0.714605,0.549085,0.449044,0.325429,0.638662,0.452096,0.334229,0.263959
CFA3K,16.8364,16.1212,15.8643,15.6022,16.5238,16.0132,15.8682,15.7455,51.4791,40.7425,0.720272,0.553439,0.452606,0.32801,0.643727,0.455682,0.33688,0.266053
CFA3K,16.0325,15.3819,15.1738,14.9849,15.6454,15.182,15.0065,14.9503,51.4095,40.7576,0.718818,0.552322,0.451692,0.327348,0.642427,0.454762,0.3362,0.265516
CFA3K,16.7756,15.842,15.5289,15.1986,16.1798,15.4862,15.1746,15.0275,51.4053,40.6494,0.705273,0.541914,0.443181,0.32118,0.630322,0.446193,0.329865,0.260512
CFA3K,16.833,16.1084,15.8818,15.6694,16.3406,15.853,15.6363,15.5776,51.3889,40.6277,0.699627,0.537576,0.439633,0.318609,0.625276,0.442621,0.327224,0.258427
CFA3K,16.5453,16.0412,15.8799,15.7189,16.2438,15.8761,15.7355,15.7042,92.2946,64.7452,0.337829,0.259579,0.212285,0.153846,0.301927,0.213728,0.158006,0.124786
CFA3K,16.9014,16.4057,16.2504,16.0764,16.6112,16.2371,16.0965,16.0659,92.2828,64.7366,0.338749,0.260287,0.212864,0.154266,0.30275,0.214311,0.158437,0.125127
CFA3K,16.4324,15.58,15.2676,14.9522,15.9149,15.2598,14.9761,14.8503,92.163,64.7331,0.333856,0.256527,0.209789,0.152037,0.298376,0.211215,0.156148,0.123319
CFA3K,16.5584,15.992,15.8099,15.6422,16.1786,15.782,15.6401,15.5995,92.0134,64.7329,0.333889,0.256552,0.209809,0.152052,0.298405,0.211235,0.156164,0.123331
CFA3K,16.584,16.1261,16.0014,15.849,16.292,15.9917,15.8643,15.8284,185.781,15.7365,0.0920936,0.0707624,0.0578699,0.0419392,0.0823065,0.0582632,0.0430733,0.0340173
CFA3K,16.2467,15.4381,15.112,14.842,15.735,15.1017,14.8473,14.7512,185.71,15.8491,0.0912927,0.070147,0.0573666,0.0415745,0.0815908,0.0577565,0.0426987,0.0337215
CFA3K,16.2157,15.6391,15.4677,15.3157,15.8449,15.4666,15.3291,15.291,185.705,15.8441,0.0913911,0.0702226,0.0574285,0.0416193,0.0816787,0.0578188,0.0427447,0.0337579
CFA3K,16.646,16.1478,16.0124,15.8964,16.3234,16.0112,15.8997,15.8888,185.666,15.8596,0.0921456,0.0708024,0.0579026,0.0419629,0.082353,0.0582961,0.0430976,0.0340366
CFA3K,17.2048,16.7043,16.464,16.2113,17.133,16.384,16.4229,16.439,190.403,35.1229,0.0548215,0.0421235,0.0344488,0.0249656,0.0489955,0.0346829,0.0256407,0.0202499
CFA3K,17.0992,16.3647,16.1056,15.8945,16.6556,16.1388,15.944,15.866,206.586,-9.06143,0.167242,0.128505,0.105092,0.0761618,0.149469,0.105806,0.0782213,0.0617757
CFA3K,16.1762,15.4197,15.2366,15.0805,15.7005,15.2802,15.1252,15.0946,206.581,-9.04372,0.165418,0.127103,0.103945,0.0753308,0.147838,0.104652,0.0773678,0.0611016
CFA3K,16.9642,16.4247,16.3226,16.1785,16.7048,16.3543,16.2347,16.2073,206.522,-9.04094,0.159943,0.122896,0.100505,0.0728375,0.142945,0.101188,0.0748071,0.0590793
CFA3K,15.6622,15.0777,14.9406,14.8125,15.3101,14.9815,14.8649,14.8416,206.482,-9.04352,0.15527,0.119306,0.0975688,0.0707096,0.138769,0.0982319,0.0726216,0.0573533
CFA3K,15.7878,15.2745,15.1303,14.9666,15.4453,15.1006,14.9659,14.9476,167.426,28.6626,0.114513,0.0879891,0.071958,0.052149,0.102344,0.072447,0.0535592,0.0422987
CFA3K,16.5908,16.0435,15.8913,15.7456,16.2297,15.8821,15.7697,15.756,167.41,28.7169,0.104936,0.0806302,0.0659398,0.0477876,0.0937841,0.0663879,0.0490798,0.038761
CFA3K,17.6808,16.9995,16.7873,16.5636,17.2338,16.7668,16.5752,16.4992,167.4,28.676,0.112877,0.0867318,0.0709298,0.0514039,0.100881,0.0714118,0.0527939,0.0416943
CFA3K,17.9758,17.5055,17.3933,17.2966,17.6443,17.3826,17.27,17.251,167.295,28.6268,0.0971354,0.0746364,0.0610381,0.0442352,0.0868126,0.0614529,0.0454314,0.0358797
CFA3K,15.9138,15.3235,15.1813,15.0566,15.4854,15.1336,15.0258,15.0225,167.292,28.5734,0.0913111,0.0701612,0.0573782,0.0415829,0.0816073,0.0577682,0.0427073,0.0337283
CFA3K,18.1878,17.5965,17.4313,17.3066,17.7436,17.3898,17.2442,17.2166,167.292,28.553,0.0880806,0.067679,0.0553482,0.0401117,0.0787201,0.0557244,0.0411964,0.032535
CFA3K,16.1662,15.5757,15.3975,15.2457,15.7895,15.3933,15.2464,15.2065,159.898,5.10716,0.0915634,0.0703551,0.0575367,0.0416978,0.0818327,0.0579278,0.0428253,0.0338215
CFA3K,16.1529,15.5998,15.4211,15.2763,15.81,15.4293,15.2888,15.2677,159.884,5.21809,0.0882,0.0677707,0.0554232,0.040166,0.0788267,0.0557999,0.0412522,0.0325791
CFA3K,16.3978,15.7043,15.4826,15.3033,15.952,15.4808,15.2939,15.2553,159.857,5.17213,0.0894082,0.068699,0.0561824,0.0407163,0.0799065,0.0565643,0.0418173,0.0330254
CFA3K,17.3489,16.8603,16.7162,16.5765,17.0278,16.6963,16.5922,16.5865,183.661,12.246,0.0945391,0.0726415,0.0594066,0.0430529,0.0844921,0.0598103,0.0442171,0.0349207
CFA3K,17.8429,17.3523,17.1767,17.0295,17.5256,17.164,17.0228,16.9622,183.66,12.1854,0.094231,0.0724048,0.059213,0.0429126,0.0842169,0.0596155,0.044073,0.0348069
CFA3K,17.8974,17.1973,16.9842,16.7795,17.4486,16.9518,16.7703,16.6972,183.646,12.1699,0.0952281,0.0731709,0.0598395,0.0433666,0.0851079,0.0602462,0.0445393,0.0351752
CFA3K,18.3519,17.8713,17.7127,17.573,18.0378,17.7283,17.6031,17.587,183.614,12.2592,0.0971937,0.0746812,0.0610747,0.0442618,0.0868647,0.0614898,0.0454586,0.0359012
CFA3K,15.9984,15.4353,15.2872,15.153,15.6029,15.2559,15.1385,15.107,183.605,12.1458,0.0967841,0.0743665,0.0608173,0.0440752,0.0864986,0.0612306,0.0452671,0.0357499
CFA3K,16.7143,15.8363,15.4852,15.2015,16.1912,15.4803,15.2275,15.1229,183.579,12.241,0.098199,0.0754536,0.0617064,0.0447196,0.0877631,0.0621258,0.0459288,0.0362725
CFA3K,17.8069,17.0988,16.8597,16.669,17.3353,16.8647,16.6908,16.6262,183.573,12.1652,0.0962702,0.0739717,0.0604944,0.0438412,0.0860393,0.0609056,0.0450267,0.0355601
CFA3K,16.1404,15.6975,15.5952,15.5238,15.8303,15.58,15.5149,15.5393,159.303,65.0119,0.0480959,0.0369557,0.0302226,0.0219028,0.0429847,0.030428,0.022495,0.0177656
CFA3K,15.4876,15.0086,14.8859,14.7663,15.1942,14.912,14.7767,14.7587,171.08,-12.2748,0.158465,0.12176,0.0995764,0.0721645,0.141624,0.100253,0.0741159,0.0585334
CFA3K,16.2556,15.5926,15.4149,15.2633,15.7791,15.3913,15.243,15.2163,170.921,-12.3468,0.160468,0.123299,0.100835,0.0730765,0.143414,0.10152,0.0750526,0.0592732
CFA3K,15.9801,15.4301,15.2864,15.1697,15.6342,15.2956,15.1817,15.1698,128.458,41.4769,0.122021,0.0937579,0.0766757,0.0555681,0.109054,0.0771969,0.0570707,0.0450719
CFA3K,17.0195,16.2955,16.0888,15.9176,16.5569,16.0863,15.9321,15.8888,128.432,41.4711,0.12167,0.0934879,0.0764549,0.055408,0.108739,0.0769745,0.0569063,0.0449421
CFA3K,16.1611,15.401,15.1398,14.9362,15.71,15.1594,14.9731,14.9067,128.41,41.5919,0.111272,0.0854984,0.069921,0.0506728,0.0994465,0.0703962,0.0520431,0.0411013
CFA3K,17.0596,16.289,16.0368,15.8272,16.5854,16.0365,15.8419,15.7693,128.4,41.5073,0.118356,0.0909419,0.0743728,0.0538991,0.105778,0.0748782,0.0553566,0.0437181
CFA3K,17.2846,16.7186,16.5709,16.4373,16.8838,16.5349,16.4242,16.4126,128.359,41.4492,0.122773,0.0943356,0.0771481,0.0559104,0.109725,0.0776725,0.0574223,0.0453496
CFA3K,16.6655,16.0305,15.8283,15.6666,16.251,15.8323,15.6857,15.65,128.268,41.5574,0.121658,0.0934788,0.0764474,0.0554026,0.108729,0.076967,0.0569008,0.0449377
CFA3K,16.176,15.3925,15.1178,14.8867,15.7016,15.12,14.9063,14.829,128.265,41.5451,0.122829,0.0943787,0.0771834,0.055936,0.109776,0.077708,0.0574485,0.0453703
CFA3K,17.5885,16.957,16.8316,16.6657,17.1953,16.8365,16.701,16.6712,128.258,41.572,0.120662,0.0927134,0.0758215,0.054949,0.107839,0.0763368,0.0564349,0.0445698
CFA3K,18.7879,17.8871,17.55,17.3354,18.2518,17.542,17.2945,17.1997,174.669,20.456,0.0840756,0.0646016,0.0528315,0.0382878,0.0751406,0.0531906,0.0393231,0.0310557
CFA3K,16.1289,15.5011,15.363,15.2344,15.7268,15.3547,15.238,15.2382,174.646,20.5555,0.0923803,0.0709827,0.05805,0.0420697,0.0825628,0.0584446,0.0432073,0.0341232
CFA3K,18.5839,18.1061,18.065,17.9464,18.3052,18.0441,17.9815,17.9795,174.611,20.6009,0.0922138,0.0708548,0.0579454,0.0419939,0.082414,0.0583392,0.0431295,0.0340617
CFA3K,16.4129,15.8201,15.67,15.5274,16.0603,15.6771,15.5523,15.5317,174.574,20.5999,0.0937003,0.071997,0.0588795,0.0426709,0.0837425,0.0592797,0.0438248,0.0346108
CFA3K,16.6389,15.7441,15.43,15.1794,16.1345,15.4689,15.2186,15.1403,174.562,20.6159,0.0928057,0.0713096,0.0583174,0.0422635,0.082943,0.0587137,0.0434063,0.0342804
CFA3K,16.4391,15.7076,15.476,15.2746,15.9645,15.4665,15.2856,15.2266,226.167,35.9378,0.0483474,0.0371489,0.0303806,0.0220173,0.0432094,0.0305871,0.0226126,0.0178585
CFA3K,16.9467,16.1266,15.8627,15.6256,16.4541,15.8758,15.6562,15.5709,226.114,36.0318,0.0433492,0.0333084,0.0272398,0.0197411,0.0387423,0.0274249,0.0202749,0.0160122
CFA3K,16.1985,15.476,15.2754,15.1186,15.7054,15.2515,15.1074,15.0786,226.08,35.9502,0.0510938,0.0392592,0.0321064,0.023268,0.0456639,0.0323246,0.0238972,0.0188729
CFA3K,16.1891,15.6903,15.565,15.4516,15.8297,15.5383,15.442,15.436,226.061,35.9499,0.0508266,0.0390539,0.0319385,0.0231463,0.0454252,0.0321556,0.0237722,0.0187742
CFA3K,16.7275,16.1321,15.954,15.7838,16.3796,15.9626,15.7982,15.7497,280.066,39.9655,0.205103,0.157596,0.128883,0.0934032,0.183306,0.129759,0.0959289,0.0757604
CFA3K,16.5325,15.8721,15.6755,15.4979,16.1454,15.698,15.5332,15.4895,280.041,40.0162,0.209909,0.161289,0.131903,0.0955919,0.187601,0.132799,0.0981768,0.0775356
CFA3K,16.3695,15.6051,15.343,15.0999,15.9391,15.3835,15.1559,15.0505,280.032,40.0651,0.212926,0.163607,0.133798,0.0969657,0.190297,0.134708,0.0995878,0.07865
CFA3K,16.53,16.1141,15.9905,15.8813,16.2508,15.9948,15.8933,15.8784,280.01,39.967,0.203447,0.156323,0.127842,0.0926491,0.181826,0.128711,0.0951544,0.0751487
CFA3K,17.178,16.5561,16.3735,16.2194,16.8002,16.4277,16.2717,16.2545,280.001,39.9892,0.206651,0.158786,0.129856,0.0941085,0.18469,0.130738,0.0966533,0.0763324
CFA3K,16.357,15.6571,15.434,15.2644,15.9276,15.4625,15.2879,15.2456,279.963,40.0103,0.208198,0.159974,0.130827,0.0948126,0.186072,0.131717,0.0973765,0.0769036
CFA3K,16.7035,16.0486,15.8505,15.6988,16.3128,15.8835,15.7273,15.6959,279.883,40.0417,0.201284,0.154662,0.126483,0.0916643,0.179893,0.127343,0.094143,0.07435
CFA3K,18.1689,17.4469,17.1575,16.9383,17.6915,17.1525,16.9277,16.8438,202.566,13.3336,0.0766589,0.0589028,0.048171,0.0349103,0.0685122,0.0484984,0.0358543,0.0283161
CFA3K,16.7359,15.7799,15.4405,15.1073,16.1433,15.432,15.1138,14.9728,202.529,13.3712,0.0795463,0.0611214,0.0499854,0.0362252,0.0710927,0.0503251,0.0372047,0.0293826
CFA3K,16.0029,15.3109,15.0725,14.8523,15.5634,15.0672,14.8783,14.8189,202.515,13.4768,0.081871,0.0629077,0.0514462,0.0372839,0.0731704,0.0517959,0.0382921,0.0302414
CFA3K,17.7009,17.2139,17.0925,16.9823,17.3658,17.0746,16.9672,16.9562,202.509,13.3733,0.0798875,0.0613836,0.0501998,0.0363806,0.0713976,0.050541,0.0373643,0.0295087
CFA3K,16.0839,15.3239,15.0575,14.8483,15.5736,15.0335,14.8321,14.762,202.443,13.3306,0.0706128,0.0542571,0.0443717,0.0321569,0.0631086,0.0446733,0.0330264,0.0260828
CFA3K,17.1867,16.6424,16.4874,16.3651,16.859,16.5123,16.3833,16.3367,239.197,20.1006,0.173548,0.13335,0.109054,0.0790331,0.155104,0.109795,0.0811703,0.0641047
CFA3K,16.2657,15.4644,15.216,14.9994,15.8022,15.2405,15.0254,14.9414,239.168,20.118,0.176077,0.135293,0.110643,0.080185,0.157365,0.111395,0.0823533,0.0650389
CFA3K,16.2061,15.7131,15.5831,15.4791,15.866,15.5779,15.4792,15.4772,239.133,20.0178,0.168668,0.1296,0.105988,0.076811,0.150743,0.106708,0.078888,0.0623022
CFA3K,16.333,15.6074,15.374,15.1817,15.8481,15.3553,15.1707,15.109,239.097,20.0072,0.168599,0.129547,0.105944,0.0767795,0.150681,0.106664,0.0788557,0.0622767
CFA3K,16.996,16.3794,16.2087,16.0354,16.559,16.1748,16.0165,15.9722,239.066,20.0017,0.168396,0.129391,0.105817,0.0766871,0.1505,0.106536,0.0787608,0.0622018
CFA3K,17.3375,16.8707,16.7348,16.585,17.0464,16.7144,16.5949,16.5706,208.256,5.32082,0.0912756,0.0701339,0.0573559,0.0415667,0.0815755,0.0577457,0.0426907,0.0337152
CFA3K,17.7235,17.0127,16.7658,16.513,17.2704,16.7676,16.5376,16.4418,208.229,5.33347,0.0908301,0.0697916,0.0570759,0.0413638,0.0811773,0.0574638,0.0424823,0.0335506
CFA3K,16.6555,15.9197,15.6758,15.5,16.1876,15.674,15.4956,15.4382,208.218,5.27146,0.0880155,0.0676289,0.0553073,0.040082,0.0786618,0.0556832,0.0411659,0.032511
CFA3K,15.9705,15.3427,15.1588,15.01,15.5704,15.1509,15.0172,14.9875,208.192,5.26187,0.0861315,0.0661813,0.0541234,0.039224,0.076978,0.0544912,0.0402847,0.0318151
CFA3K,16.7275,16.1837,16.0118,15.848,16.4083,16.0134,15.8683,15.8372,208.191,5.38285,0.0920835,0.0707547,0.0578636,0.0419346,0.0822975,0.0582568,0.0430686,0.0340136
CFA3K,17.4655,17.0717,16.9538,16.848,17.1916,16.9405,16.8502,16.8347,208.19,5.32487,0.0897444,0.0689574,0.0563937,0.0408694,0.080207,0.056777,0.0419745,0.0331496
CFA3K,16.0935,15.3757,15.1468,14.966,15.638,15.1424,14.9703,14.911,208.172,5.26488,0.0853189,0.0655569,0.0536128,0.038854,0.0762518,0.0539772,0.0399046,0.0315149
CFA3K,16.3119,15.7172,15.5357,15.3777,15.9397,15.554,15.4162,15.3723,218.541,3.87345,0.121654,0.0934757,0.0764449,0.0554008,0.108725,0.0769645,0.0568989,0.0449362
CFA3K,16.3384,15.4327,15.0657,14.7472,15.8391,15.1062,14.8051,14.6729,218.5,3.88279,0.123962,0.0952494,0.0778955,0.056452,0.110788,0.0784249,0.0579786,0.0457889
CFA3K,15.7744,15.1417,14.9687,14.8192,15.3514,14.9651,14.8226,14.7952,218.435,3.71991,0.130379,0.10018,0.081928,0.0593745,0.116524,0.0824848,0.06098,0.0481593
CFA3K,17.0893,16.5376,16.37,16.1988,16.7712,16.3759,16.2094,16.1616,195.232,27.9678,0.033126,0.0254532,0.0208157,0.0150855,0.0296056,0.0209572,0.0154934,0.012236
