survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3S,16.2911,15.5204,14.9635,14.5183,15.8154,15.2269,14.9781,14.8778,236.809,-1.0652,0.352113,0.270104,0.204682,0.149467,0.314834,0.222865,0.164761,0.130121
CFA3S,16.134,15.4832,15.0103,14.6093,15.7127,15.2366,15.033,14.9577,236.738,-1.07227,0.337011,0.25852,0.195903,0.143057,0.301331,0.213306,0.157695,0.12454
CFA3S,17.3276,16.5885,16.0609,15.6496,16.8455,16.293,16.0696,15.9754,236.68,-1.07222,0.341271,0.261787,0.198379,0.144865,0.30514,0.216002,0.159688,0.126114
CFA3S,16.4604,15.9379,15.5462,15.2258,16.1192,15.7684,15.6632,15.6413,211.718,-5.49285,0.0872532,0.0669315,0.0507199,0.0370378,0.0780155,0.0552257,0.0408277,0.0322439
CFA3S,17.3564,16.8099,16.4039,16.0781,16.9846,16.618,16.4861,16.4678,211.687,-5.46974,0.0865717,0.0664087,0.0503237,0.0367485,0.0774062,0.0547943,0.0405088,0.031992
CFA3S,16.5891,15.9499,15.4916,15.1305,16.1856,15.7269,15.558,15.5016,211.682,-5.34674,0.0821747,0.0630358,0.0477678,0.0348821,0.0734747,0.0520113,0.0384513,0.0303672
CFA3S,17.2851,16.7359,16.2842,15.9058,16.9434,16.525,16.339,16.2884,211.643,-5.49268,0.0873581,0.067012,0.0507809,0.0370823,0.0781093,0.055292,0.0408767,0.0322826
CFA3S,16.824,16.3395,15.9588,15.6727,16.4813,16.1641,16.0643,16.06,211.619,-5.45926,0.085269,0.0654094,0.0495665,0.0361955,0.0762414,0.0539698,0.0398992,0.0315106
CFA3S,17.0707,16.6435,16.2932,15.9961,16.7654,16.4887,16.3955,16.3835,211.584,-5.40442,0.0840327,0.0644611,0.0488478,0.0356707,0.075136,0.0531873,0.0393207,0.0310537
CFA3S,17.2994,16.8932,16.5552,16.2674,17.0124,16.7596,16.6707,16.6598,211.584,-5.45349,0.0841351,0.0645396,0.0489074,0.0357142,0.0752275,0.0532521,0.0393686,0.0310916
CFA3S,16.2867,15.7332,15.3299,15.0074,15.9178,15.5481,15.4161,15.3881,211.563,-5.39208,0.0840906,0.0645055,0.0488815,0.0356953,0.0751878,0.053224,0.0393478,0.0310752
CFA3S,17.2777,16.7597,16.3826,16.0233,16.933,16.6064,16.4859,16.479,244.233,35.6734,0.0485429,0.037237,0.0282178,0.0206058,0.0434036,0.0307246,0.0227143,0.0179387
CFA3S,17.264,16.633,16.1799,15.779,16.8442,16.4162,16.2449,16.1955,244.22,35.7945,0.043985,0.0337407,0.0255683,0.018671,0.0393282,0.0278397,0.0205815,0.0162544
CFA3S,16.5696,15.9793,15.5515,15.1729,16.1813,15.7838,15.6319,15.5948,244.211,35.7788,0.0461048,0.0353668,0.0268005,0.0195709,0.0412236,0.0291814,0.0215734,0.0170377
CFA3S,16.0016,15.4303,15.0225,14.6513,15.6039,15.2285,15.0829,15.0528,244.131,35.638,0.0533611,0.0409331,0.0310186,0.0226511,0.0477117,0.0337742,0.0249688,0.0197193
CFA3S,17.3383,16.777,16.3765,-982.223,16.9478,16.5829,16.4621,16.4469,244.126,35.6901,0.064805,0.0497116,0.0376708,0.0275088,0.0579439,0.0410174,0.0303236,0.0239483
CFA3S,16.5537,15.8467,15.3439,14.9223,16.0989,15.5822,15.3778,15.3078,244.086,35.759,0.0610389,0.0468227,0.0354817,0.0259102,0.0545766,0.0386337,0.0285614,0.0225565
CFA3S,17.297,16.7407,16.3392,15.969,16.9186,16.5501,16.419,16.3866,244.076,35.7406,0.0623045,0.0477935,0.0362174,0.0264474,0.0557082,0.0394348,0.0291536,0.0230242
CFA3S,18.3287,17.7117,17.2822,16.9413,17.9052,17.494,17.3402,17.3226,244.067,35.7195,0.0629095,0.0482576,0.036569,0.0267043,0.0562492,0.0398177,0.0294367,0.0232478
CFA3S,18.2989,17.6943,17.2815,16.8946,17.9053,17.5071,17.3536,17.3355,244.044,35.7418,0.058067,0.0445429,0.0337541,0.0246486,0.0519193,0.0367527,0.0271708,0.0214583
CFA3S,18.0726,17.4905,17.0664,16.7217,17.7318,17.3555,17.1917,17.154,198.303,-19.5218,0.332558,0.255104,0.193315,0.141166,0.29735,0.210488,0.155611,0.122895
CFA3S,18.0333,17.4278,16.9737,16.573,17.6765,17.2389,17.0664,16.9972,198.279,-19.499,0.33187,0.254576,0.192914,0.140874,0.296734,0.210052,0.155289,0.12264
CFA3S,17.8157,17.0712,16.5478,16.1238,17.3796,16.8277,16.6211,16.5407,198.245,-19.4679,0.33252,0.255075,0.193293,0.14115,0.297316,0.210464,0.155593,0.122881
CFA3S,17.4738,16.7541,16.2259,15.8284,17.0466,16.5132,16.2996,16.2165,198.185,-19.5707,0.320368,0.245753,0.186229,0.135992,0.28645,0.202773,0.149907,0.11839
CFA3S,18.1926,17.5229,16.9645,16.5747,17.7882,17.2646,17.0162,16.8949,299.171,40.42,1.00794,0.773183,0.585909,0.427855,0.901224,0.637959,0.471635,0.372476
CFA3S,17.7446,16.9509,16.3775,15.9247,17.338,16.6872,16.426,16.308,299.17,40.368,1.02475,0.786077,0.59568,0.43499,0.916253,0.648598,0.4795,0.378688
CFA3S,17.4446,16.7246,16.1733,15.714,17.0144,16.4265,16.2363,16.0676,298.982,40.4187,1.20949,0.927792,0.70307,0.513411,1.08144,0.765528,0.565946,0.446959
CFA3S,16.6729,16.0189,15.5209,15.1223,16.3244,15.8195,15.5915,15.5052,298.978,40.5098,0.97994,0.751707,0.569635,0.415971,0.876192,0.620239,0.458535,0.362131
CFA3S,17.3813,16.6926,16.1899,15.7583,16.9613,16.4546,16.2316,16.1462,298.962,40.5138,0.954144,0.731919,0.55464,0.405021,0.853127,0.603912,0.446465,0.352598
CFA3S,16.5332,15.8026,15.2891,14.7898,16.0774,15.5397,15.3051,15.2031,352.086,22.4721,0.170248,0.130596,0.0989643,0.0722679,0.152223,0.107756,0.0796626,0.062914
CFA3S,18.1792,17.6166,17.2281,16.7768,17.8366,17.492,17.3555,17.3402,352.072,22.4804,0.170592,0.13086,0.0991642,0.0724138,0.152531,0.107974,0.0798235,0.063041
CFA3S,16.7002,16.0596,15.6161,15.2138,16.283,15.8342,15.6658,15.6227,352.039,22.3616,0.170961,0.131143,0.0993788,0.0725706,0.152861,0.108207,0.0799963,0.0631775
CFA3S,16.5382,15.9106,15.4471,14.9998,16.1467,15.6837,15.4884,15.4224,352.036,22.4436,0.170187,0.130549,0.0989287,0.0722419,0.152169,0.107717,0.079634,0.0628913
CFA3S,17.2122,16.4636,15.8801,15.3368,16.7548,16.1367,15.8609,15.7345,352.025,22.5163,0.17191,0.131871,0.0999304,0.0729734,0.153709,0.108808,0.0804403,0.0635281
CFA3S,17.4154,16.9826,16.6497,16.3832,17.4896,17.068,16.8992,16.8366,51.0694,40.5743,0.656794,0.503823,0.381791,0.2788,0.587258,0.415708,0.307328,0.242714
CFA3S,18.6287,17.8969,17.347,16.8935,18.1488,17.5935,17.3693,17.2621,51.0669,40.4962,0.62096,0.476335,0.360961,0.263589,0.555218,0.393028,0.290561,0.229472
CFA3S,17.1311,16.2326,15.608,15.0799,16.5957,15.9045,15.5749,15.424,51.0647,40.6098,0.674196,0.517172,0.391907,0.286187,0.602817,0.426722,0.315471,0.249145
CFA3S,17.8574,17.0386,16.456,15.9846,17.3712,16.7069,16.4764,16.3646,51.0632,40.5994,0.667391,0.511953,0.387952,0.283299,0.596733,0.422416,0.312287,0.24663
CFA3S,17.346,16.4959,15.9043,15.4039,16.8342,16.1678,15.8962,15.7672,51.0578,40.5437,0.641076,0.491766,0.372655,0.272128,0.573204,0.40576,0.299973,0.236906
CFA3S,16.802,15.7879,15.0783,14.4839,16.2099,15.398,15.0035,14.814,51.0517,40.6335,0.691663,0.530572,0.402061,0.293602,0.618436,0.437778,0.323644,0.2556
CFA3S,18.1547,17.3276,16.767,16.2862,17.6618,17.0409,16.7723,16.6504,51.0481,40.5266,0.632262,0.485005,0.367531,0.268387,0.565323,0.400181,0.295849,0.233649
CFA3S,18.0131,17.1226,16.481,15.9426,17.4767,16.7739,16.4347,16.2766,51.045,40.6437,0.696437,0.534234,0.404836,0.295628,0.622704,0.4408,0.325878,0.257364
CFA3S,17.9824,17.1359,16.538,16.0399,17.4809,16.7838,16.5162,16.3959,51.0444,40.5817,0.657329,0.504234,0.382102,0.279027,0.587736,0.416047,0.307578,0.242912
CFA3S,17.0521,16.3153,15.7864,15.3309,16.6158,16.0609,15.8163,15.7476,50.9962,40.6227,0.678496,0.520471,0.394407,0.288012,0.606662,0.429444,0.317483,0.250734
CFA3S,17.7774,16.9679,16.3796,15.8895,17.2634,16.6013,16.3422,16.2425,50.9938,40.605,0.668467,0.512777,0.388577,0.283755,0.597695,0.423096,0.31279,0.247028
CFA3S,16.2764,15.6273,15.1607,14.7603,15.8583,15.3997,15.2159,15.148,50.9761,40.4964,0.616073,0.472586,0.35812,0.261515,0.550848,0.389934,0.288274,0.227666
CFA3S,18.3218,17.6743,17.1504,16.7569,17.9658,17.5654,17.314,17.29,50.958,40.6014,0.652268,0.500352,0.379161,0.276879,0.583211,0.412844,0.30521,0.241041
CFA3S,18.3494,17.7643,17.3384,16.9503,17.9648,17.621,17.375,17.3667,50.9114,40.4942,0.597095,0.458029,0.347089,0.253459,0.53388,0.377923,0.279394,0.220653
CFA3S,16.2104,15.5733,15.1144,14.7283,15.8407,15.3499,15.1747,15.1133,50.8913,40.5807,0.607196,0.465777,0.35296,0.257746,0.542911,0.384316,0.28412,0.224385
CFA3S,17.4657,16.4729,15.73,15.1325,16.8825,16.0399,15.6405,15.4505,50.8828,40.5852,0.602678,0.462311,0.350334,0.255829,0.538871,0.381456,0.282006,0.222716
CFA3S,17.2558,16.5383,16.025,15.6209,16.8171,16.2629,16.0523,15.9652,50.8743,40.503,0.576407,0.442159,0.335063,0.244677,0.515381,0.364828,0.269713,0.213007
CFA3S,17.4475,16.8762,16.474,16.108,17.0868,16.7095,16.574,16.5337,27.5359,32.5891,0.15862,0.121677,0.0922053,0.0673322,0.141827,0.100396,0.0742219,0.0586171
CFA3S,16.9058,16.3032,15.882,15.5197,16.5337,16.1221,15.9749,15.9303,27.5229,32.7087,0.154293,0.118358,0.0896899,0.0654953,0.137958,0.0976576,0.0721971,0.057018
CFA3S,17.2325,16.5575,16.1046,15.7216,16.8097,16.3388,16.1705,16.1259,27.5197,32.5946,0.157161,0.120557,0.0913569,0.0667126,0.140522,0.0994727,0.073539,0.0580778
CFA3S,17.1819,16.3989,15.843,15.3954,16.7084,16.1089,15.887,15.7752,27.5027,32.6716,0.153519,0.117764,0.0892401,0.0651668,0.137266,0.0971678,0.071835,0.0567321
CFA3S,17.216,16.4642,15.9505,15.543,16.7018,16.1453,15.9498,15.8784,27.4743,32.5417,0.158416,0.12152,0.0920863,0.0672453,0.141644,0.100267,0.0741261,0.0585415
CFA3S,15.5682,14.9902,14.6313,14.3607,15.1848,14.8484,14.7342,14.7162,27.3999,32.7009,0.153568,0.117802,0.0892687,0.0651877,0.13731,0.097199,0.071858,0.0567503
CFA3S,16.8578,16.0962,15.6103,15.2457,16.3646,15.8561,15.6373,15.5583,27.3499,32.6042,0.165317,0.126813,0.0960978,0.0701746,0.147814,0.104635,0.0773552,0.0610917
CFA3S,16.7399,16.0995,15.6322,15.2387,16.3622,15.8839,15.6939,15.6283,29.5653,36.2608,0.318082,0.243999,0.1849,0.135021,0.284406,0.201325,0.148837,0.117545
CFA3S,16,15.2612,14.7489,14.3294,15.5668,15.0042,14.7909,14.714,29.5644,36.3952,0.300371,0.230413,0.174605,0.127504,0.268571,0.190116,0.14055,0.111
CFA3S,16.7859,15.9505,15.3815,14.927,16.2945,15.6541,15.3918,15.2974,29.5551,36.3886,0.301729,0.231454,0.175393,0.12808,0.269784,0.190975,0.141185,0.111502
CFA3S,17.2346,16.3348,15.6868,15.1853,16.7265,15.9702,15.6696,15.5307,29.5534,36.2728,0.316932,0.243117,0.184231,0.134533,0.283378,0.200598,0.148299,0.11712
CFA3S,18.4686,17.9015,17.4798,17.088,18.0962,17.708,17.5192,17.469,29.5242,36.2701,0.317253,0.243363,0.184418,0.134669,0.283664,0.2008,0.148449,0.117239
CFA3S,18.1572,17.5278,17.0941,16.684,17.7695,17.3214,17.1182,17.0368,29.5001,36.3654,0.305777,0.23456,0.177747,0.129798,0.273404,0.193537,0.14308,0.112998
CFA3S,16.7213,15.8705,15.2832,14.7903,16.2153,15.558,15.2569,15.1134,29.4835,36.3234,0.309997,0.237797,0.1802,0.131589,0.277177,0.196208,0.145054,0.114557
CFA3S,17.9156,17.0772,16.4422,15.8894,17.43,16.7465,16.3957,16.2128,29.4756,36.3989,0.302249,0.231854,0.175696,0.128301,0.270249,0.191304,0.141429,0.111694
CFA3S,17.5096,16.8692,16.4139,16.0157,17.098,16.6451,16.4656,16.3955,29.4652,36.2705,0.316546,0.242821,0.184007,0.13437,0.283033,0.200353,0.148119,0.116978
CFA3S,16.1926,15.5368,15.0758,14.6773,16.0175,15.325,15.1288,15.0499,29.4494,36.3698,0.305323,0.234212,0.177483,0.129606,0.272998,0.19325,0.142867,0.11283
CFA3S,16.0236,15.4036,14.9762,14.6455,15.6552,15.2169,15.0646,15.0325,29.4486,36.4327,0.29816,0.228717,0.173319,0.126565,0.266593,0.188716,0.139516,0.110183
CFA3S,16.355,15.8562,15.4739,15.142,16.0434,15.6939,15.5611,15.5316,29.439,36.3475,0.306799,0.235344,0.178341,0.130232,0.274317,0.194184,0.143558,0.113375
CFA3S,17.1136,16.2028,15.5441,15.1336,16.5842,15.8205,15.5091,15.3807,29.4292,36.3159,0.309946,0.237758,0.18017,0.131568,0.277132,0.196176,0.145031,0.114539
CFA3S,15.8742,15.2848,14.8655,14.5096,15.5065,15.0959,14.9385,14.9014,29.4161,36.3575,0.306028,0.234752,0.177893,0.129905,0.273628,0.193696,0.143197,0.113091
CFA3S,17.8119,17.0708,16.5635,16.149,17.3533,16.8001,16.5912,16.5094,29.3879,36.3477,0.306632,0.235216,0.178244,0.130161,0.274169,0.194079,0.14348,0.113314
CFA3S,15.9942,15.3177,14.8343,14.4466,15.5637,15.0662,14.8634,14.7952,29.3729,36.2621,0.318404,0.244246,0.185087,0.135158,0.284694,0.201529,0.148988,0.117664
CFA3S,17.5161,16.7526,16.2172,15.81,17.0252,16.4604,16.2411,16.1493,29.3396,36.3687,0.306733,0.235293,0.178303,0.130204,0.274259,0.194142,0.143527,0.113351
CFA3S,17.9689,17.1862,16.6232,16.1266,17.4859,16.8929,16.639,16.532,311.887,0.320382,0.331518,0.254306,0.19271,0.140725,0.29642,0.20983,0.155124,0.12251
CFA3S,17.0973,16.1239,15.4789,15.0086,16.4691,15.6859,15.3884,15.2745,311.875,0.40299,0.333222,0.255613,0.1937,0.141448,0.297943,0.210908,0.155922,0.12314
CFA3S,17.5979,16.8585,16.3508,15.9369,17.1443,16.6012,16.3916,16.3239,311.855,0.269474,0.327355,0.251112,0.19029,0.138958,0.292697,0.207194,0.153176,0.120972
CFA3S,15.8629,15.2755,14.8518,14.4809,15.4937,15.0826,14.9274,14.8887,311.842,0.358533,0.348229,0.267125,0.202424,0.147818,0.311361,0.220406,0.162944,0.128686
CFA3S,16.754,16.0429,15.5599,15.183,16.3062,15.7944,15.6134,15.5651,311.84,0.250069,0.324171,0.24867,0.188439,0.137606,0.289851,0.20518,0.151687,0.119795
CFA3S,16.8079,16.0212,15.4882,15.0793,16.3301,15.7495,15.5468,15.4729,311.825,0.342352,0.356531,0.273494,0.20725,0.151343,0.318785,0.225662,0.166829,0.131754
CFA3S,16.5952,15.8885,15.3961,15.0032,16.1709,15.6695,15.4708,15.4169,311.803,0.387494,0.346522,0.265815,0.201431,0.147094,0.309835,0.219326,0.162145,0.128055
CFA3S,18.2003,17.5412,17.0992,16.7283,17.7737,17.3222,17.1647,17.109,311.78,0.244098,0.337693,0.259043,0.1963,0.143346,0.301941,0.213738,0.158014,0.124792
CFA3S,15.8129,15.1972,14.7562,14.3906,15.4058,14.973,14.8039,14.7609,311.758,0.23683,0.337705,0.259052,0.196307,0.143351,0.301952,0.213746,0.15802,0.124797
CFA3S,17.495,16.8289,16.3589,15.9543,17.0862,16.5943,16.3995,16.3282,311.757,0.324511,0.362722,0.278242,0.210849,0.153971,0.32432,0.22958,0.169725,0.134042
CFA3S,18.0256,17.4029,16.9609,16.5706,17.6237,17.174,17.0045,16.9614,311.747,0.303998,0.364068,0.279275,0.211631,0.154542,0.325524,0.230432,0.170356,0.134539
CFA3S,17.1146,16.1925,15.5375,15.0182,16.5714,15.8065,15.4939,15.3501,311.74,0.321144,0.362623,0.278166,0.210791,0.153929,0.324231,0.229517,0.169679,0.134005
CFA3S,16.6671,15.9924,15.5073,15.0816,16.2668,15.769,15.5527,15.4924,133.599,-7.25041,0.121271,0.0930266,0.0704945,0.051478,0.108432,0.0767569,0.0567455,0.044815
CFA3S,16.9635,16.1695,15.6166,15.1816,16.484,15.8738,15.6526,15.579,133.589,-7.17555,0.12847,0.098549,0.0746793,0.0545339,0.114869,0.0813135,0.0601141,0.0474754
CFA3S,15.632,15.186,14.8646,14.5676,15.3563,15.0745,14.9926,15.0037,133.583,-7.15349,0.128036,0.098216,0.0744269,0.0543496,0.114481,0.0810387,0.0599109,0.047315
CFA3S,17.6285,16.8365,16.2876,15.842,17.1678,16.5413,16.3076,16.2257,133.578,-7.17931,0.128754,0.0987669,0.0748444,0.0546545,0.115123,0.0814933,0.060247,0.0475804
CFA3S,16.8855,16.177,15.6986,15.296,16.4111,15.9133,15.728,15.6762,133.574,-7.11737,0.126655,0.0971566,0.0736241,0.0537634,0.113246,0.0801646,0.0592647,0.0468046
CFA3S,16.7035,16.201,15.8346,15.4995,16.3846,16.0243,15.9224,15.9132,133.565,-7.11289,0.126853,0.097308,0.0737388,0.0538472,0.113422,0.0802895,0.059357,0.0468775
CFA3S,15.7665,15.146,14.7341,14.3826,15.375,14.9421,14.7933,14.7797,133.537,-7.2679,0.121474,0.093182,0.0706122,0.051564,0.108613,0.0768852,0.0568403,0.0448899
CFA3S,17.7075,16.993,16.4911,16.0736,17.226,16.7038,16.5009,16.4465,133.521,-7.19444,0.131551,0.100912,0.0764701,0.0558417,0.117624,0.0832634,0.0615556,0.0486139
CFA3S,18.3275,17.7645,17.3606,16.9526,17.9691,17.5431,17.3852,17.3485,133.512,-7.13619,0.131535,0.1009,0.0764608,0.0558349,0.117609,0.0832533,0.0615482,0.048608
CFA3S,16.7595,16.2425,15.8741,15.5491,16.4277,16.0736,15.9679,15.9586,133.512,-7.12221,0.129874,0.0996256,0.0754951,0.0551297,0.116124,0.0822018,0.0607708,0.047994
CFA3S,17.382,16.661,16.1536,15.7526,17.0187,16.4211,16.1804,16.0882,133.502,-7.19517,0.132097,0.101331,0.0767872,0.0560732,0.118111,0.0836087,0.0618109,0.0488155
CFA3S,16.1265,15.6055,15.2401,14.9146,15.8132,15.4474,15.3351,15.3094,133.499,-7.16614,0.134352,0.103061,0.078098,0.0570305,0.120128,0.085036,0.0628661,0.0496488
CFA3S,16.988,16.277,15.8121,15.4475,16.5407,16.0253,15.8495,15.8065,133.452,-7.2201,0.126678,0.0971744,0.0736376,0.0537733,0.113267,0.0801793,0.0592756,0.0468132
CFA3S,17.131,16.543,16.1326,15.792,16.7422,16.3421,16.2009,16.1639,133.429,-7.22635,0.1243,0.0953503,0.0722553,0.0527639,0.111141,0.0786742,0.0581629,0.0459344
CFA3S,17.6957,16.9381,16.4212,16.0032,17.2577,16.7027,16.4762,16.3994,34.6952,37.3954,0.152338,0.116857,0.0885532,0.0646653,0.136209,0.0964199,0.0712821,0.0562954
CFA3S,16.9564,16.3503,15.9102,15.5352,16.629,16.1893,16.002,15.9339,34.6927,37.4316,0.151047,0.115867,0.0878027,0.0641172,0.135055,0.0956028,0.070678,0.0558183
CFA3S,18.2942,17.5896,17.076,16.6427,17.8958,17.3807,17.1347,17.0526,34.6883,37.4046,0.152339,0.116858,0.088554,0.0646658,0.136211,0.0964208,0.0712827,0.0562959
CFA3S,18.1233,17.5674,17.148,16.803,17.7761,17.3882,17.2352,17.168,34.6833,37.5122,0.149256,0.114493,0.0867618,0.0633571,0.133454,0.0944694,0.0698401,0.0551566
CFA3S,17.7115,17.0101,16.558,16.2117,17.2443,16.7708,16.5893,16.528,34.6757,37.3856,0.153502,0.117751,0.0892302,0.0651596,0.137251,0.0971571,0.071827,0.0567258
CFA3S,15.6895,15.0831,14.6715,14.3255,15.32,14.9095,14.7724,14.741,34.6655,37.4931,0.15015,0.115179,0.0872813,0.0637365,0.134253,0.0950351,0.0702583,0.0554868
CFA3S,17.9563,17.4504,17.0733,16.7183,17.65,17.2917,17.1617,17.1137,34.6566,37.4385,0.15261,0.117066,0.0887115,0.0647808,0.136453,0.0965923,0.0714095,0.056396
CFA3S,16.6428,16.0084,15.5585,15.185,16.2613,15.7948,15.6272,15.5755,34.6308,37.4678,0.152482,0.116968,0.0886372,0.0647266,0.136338,0.0965113,0.0713497,0.0563488
CFA3S,16.4782,15.9251,15.5152,15.1714,16.1407,15.7614,15.6175,15.5909,34.6281,37.5539,0.150916,0.115767,0.0877267,0.0640617,0.134938,0.0955201,0.0706168,0.05577
CFA3S,15.5793,15.1001,14.7477,14.4307,15.2582,14.968,14.8527,14.8484,34.6279,37.3913,0.155332,0.119154,0.0902938,0.0659363,0.138887,0.0983151,0.0726832,0.0574019
CFA3S,16.3963,15.4824,14.8388,14.3455,15.8699,15.1255,14.8306,14.7045,34.6269,37.543,0.151386,0.116127,0.0879999,0.0642612,0.135358,0.0958175,0.0708367,0.0559437
CFA3S,17.2301,16.3359,15.702,15.211,16.6953,15.9666,15.6746,15.5629,34.6228,37.3986,0.155261,0.1191,0.0902526,0.0659063,0.138823,0.0982703,0.0726501,0.0573758
CFA3S,16.3148,15.3666,14.75,14.2375,15.7527,15.0387,14.7246,14.5767,34.6177,37.5095,0.153154,0.117484,0.0890277,0.0650117,0.136939,0.0969365,0.071664,0.056597
CFA3S,16.4062,15.4896,14.8475,14.363,15.8617,15.1306,14.8266,14.7257,34.5758,37.5,0.154619,0.118607,0.0898791,0.0656335,0.138249,0.0978637,0.0723494,0.0571383
CFA3S,18.4795,17.9478,17.5687,17.2437,18.162,17.7937,17.6662,17.635,34.5674,37.5318,0.15351,0.117756,0.0892344,0.0651627,0.137257,0.0971617,0.0718304,0.0567285
CFA3S,16.7895,16.2779,15.9065,15.579,16.4631,16.1298,15.9928,15.9867,34.5507,37.4775,0.155148,0.119013,0.0901868,0.0658582,0.138722,0.0981987,0.0725971,0.0573339
CFA3S,17.633,17.0731,16.688,16.3532,17.2657,16.9003,16.7671,16.7566,34.5398,37.4028,0.157091,0.120504,0.0913162,0.0666829,0.140459,0.0994284,0.0735062,0.0580519
CFA3S,16.1962,15.6988,15.3389,15.0218,15.8872,15.5678,15.4405,15.4316,34.4905,37.4872,0.154922,0.11884,0.0900554,0.0657622,0.13852,0.0980556,0.0724913,0.0572504
CFA3S,16.3546,15.8155,15.426,15.1208,15.9902,15.6307,15.5034,15.4925,34.4835,37.4104,0.157835,0.121074,0.0917485,0.0669986,0.141124,0.0998991,0.0738542,0.0583267
CFA3S,18.5923,17.9189,17.6068,17.2483,18.0985,17.7064,17.5475,17.5256,34.4777,37.4267,0.157106,0.120515,0.0913248,0.0666892,0.140473,0.0994378,0.0735131,0.0580574
CFA3S,16.8228,16.1869,15.7367,15.3623,16.4468,15.9754,15.8153,15.7632,34.4714,37.5562,0.151852,0.116485,0.088271,0.0644592,0.135775,0.0961127,0.0710549,0.056116
CFA3S,18.3568,17.8299,17.4538,17.1263,18.0304,17.6597,17.5223,17.5042,34.4648,37.4167,0.157593,0.120889,0.0916083,0.0668962,0.140909,0.0997465,0.0737413,0.0582376
CFA3S,18.1125,17.4272,16.9423,16.4825,17.7309,17.2288,16.9898,16.88,1.78013,8.57694,0.475811,0.364992,0.276587,0.201975,0.425436,0.301157,0.222642,0.175833
CFA3S,17.952,17.0227,16.3688,15.879,17.4433,16.6595,16.3789,16.2571,1.7669,8.55327,0.480905,0.3689,0.279548,0.204138,0.429991,0.304382,0.225026,0.177716
CFA3S,18.541,17.9457,17.4304,17.015,18.1973,17.698,17.4851,17.4179,1.74372,8.62778,0.390082,0.29923,0.226753,0.165585,0.348783,0.246897,0.182528,0.144152
CFA3S,17.844,16.9922,16.3924,15.896,17.339,16.6721,16.3696,16.2348,1.70282,8.60574,0.373473,0.286489,0.217098,0.158534,0.333933,0.236385,0.174756,0.138015
CFA3S,16.9215,16.0562,15.4658,15.017,16.4122,15.7402,15.4884,15.3936,1.6732,8.6887,0.352156,0.270137,0.204707,0.149486,0.314873,0.222892,0.164782,0.130137
